id,conversation_id,turn_no,speaker,utterance,intent,negotiation_strategy,negotiation_stage,travel_persona
11,945,8,0,"Sir We are not happy with the price you have proposed, we feel you are taking advantage of our position, So kindly rethink on this price and come with a reasonable price or else we will have to get out of this deal.<|endoftext|>#!/usr/bin/env python3 ",Negotiate-Price-Decrease,,,"['nature trips', 'wellness retreat', 'healing therapies', 'spa access']"
11,945,8,1,"We are highly obliged that you have visited our shop for tour package with us, please reconsider your budget because everything which we are providing is worth of the amount you are bidding. ",Negotiate-Price-NoChange,firm-pricing,offer_generation,{}
11,945,9,0,I cannot go beyond $12700 ,Negotiate-Price-NoChange,,,"['nature trips', 'wellness retreat', 'healing therapies', 'spa access']"
11,945,9,1,"You will definitely regret on that,this package include everything that can provide you healthful experience you can live care free to get a better life style,if you increase your budget we will provide you a package with $17000 prize ",Negotiate-Price-NoChange,firm-pricing,offer_generation,{}
11,945,10,0,I cannot go beyond $12700. ,Negotiate-Price-NoChange,,,"['nature trips', 'wellness retreat', 'healing therapies', 'spa access']"
11,945,10,1,"Sorry Sir, we cannot provide you this package in such lower cost ",Reject,definitive-decision-making,decision_making,{}
18,702,1,0,"Hello. I want to buy this package Beach Resort. how is this package?, and what is the price please tell me ",Greet-Ask,,,['package beach resort']
18,702,1,1,This package is offering wide range of amenities which is making you to forget the world and get immersed in your own self. It will make you feel comfortable when you are in the resort. The price of the package is $70000 ,Greet-Inform,problem-solving,relational_positioning,{}
18,702,2,0,"I am in the budget of $16800, can you reduce the price a bit more ",Negotiate-Price-NoChange,,,['package beach resort']
18,702,2,1,"I am sorry sir, am not able to reduce the price to $16800 ",Negotiate-Price-Increase,flexible-pricing,offer_generation,{}
18,702,3,0,"I am very sorry to say this but I cannot increase my budget for this, it is really difficult for me to pay anything above $16800 ",Negotiate-Price-NoChange,,,['package beach resort']
18,702,3,1,"You know my problem sir am sorry, we may have a little concession for you ",Negotiate-Price-Increase,flexible-pricing,offer_generation,{}
18,702,4,0,I would like to hear that ,Negotiate-Price-NoChange,,,['package beach resort']
18,702,4,1,"I mentioned about the package what you can expect to get, the amenities are same as you requested ",Negotiate-Price-NoChange,flexible-pricing,problem_identification,{}
18,702,5,0,I want to go for Scuba Diving. Please add that in the package ,Negotiate-Add-X,,,"['scuba diving', 'package beach resort']"
18,702,5,1,"Scuba Diving is a great addition, the tour cost will be $21400 ",Negotiate-Add-X,strategic-proposal,problem_identification,{}
18,702,6,0,"I do not want to hold this package in the Beachfront, please remove the amenity Beachfront ",Negotiate-Remove-X,,,"['scuba diving', 'beachfront', 'package beach resort']"
18,702,6,1,"Thank you sir, but it is not possible sir. ",Reject,definitive-decision-making,decision_making,{}
22,446,1,0,"Hi, I'm really interested in the Cultural Heritage Tour. Can you please provide me with more information about the package and its price?",Greet-Ask,,,['cultural heritage tour']
22,446,1,1,"'Sure, the Cultural Heritage Tour offers a unique experience to immerse yourself in the rich cultural heritage of various destinations. You will have the opportunity to explore historical sites, enjoy traditional performances, indulge in local cuisine experiences, and participate in art and craft workshops. The package also includes amenities such as language interpreter services, traditional costume rental, audio guides and headsets, expert lectures, and souvenir shopping. All of this can be yours for a price of $21500.",Greet-Inform,problem-solving,relational_positioning,{}
22,446,2,0,"I am interested in art and crafts, so please add art and craft workshops to the package.",Negotiate-Add-X,,,"['crafts', 'art and craft workshops', 'cultural heritage tour', 'art']"
22,446,2,1,"Absolutely, adding the art and craft workshops to the package is a great choice. The final cost of the tour package would be $26500.",Negotiate-Add-X,strategic-proposal,problem_identification,{}
22,446,3,0,"I appreciate the offer, but I can only afford up to $18372.308465519956 for this package. Can we work within this budget?",Negotiate-Price-Decrease,,,"['crafts', 'art and craft workshops', 'cultural heritage tour', 'art']"
22,446,3,1,"I understand your budget constraints, but considering the extensive services and amenities included in this package, it will be difficult for us to accommodate all of them within your proposed budget. However, I can try to make some adjustments and see if we can work within your budget. Let me check the options and get back to you with a revised proposal.",Negotiate-Price-NoChange,firm-pricing,offer_generation,{}
22,446,4,0,"No, I would prefer to stick to my proposed budget.",provide_consent,,,"['crafts', 'art and craft workshops', 'cultural heritage tour', 'art']"
22,446,4,1,Thanks for your response. We will proceed with your proposed budget and make sure to provide you with the best options within that range.,consent_response,strategic-proposal,offer_generation,{}
22,446,5,0,What is included for accommodation in the Cultural Heritage Tour package?,Ask_Clarification-Y,,,"['cultural heritage tour package', 'cultural heritage tour', 'crafts', 'art and craft workshops', 'art']"
22,446,5,1,"The accommodation included in the Cultural Heritage Tour package is of high quality and offers a comfortable stay. You will have a variety of options to choose from, ranging from luxurious hotels to cozy guesthouses, all located in close proximity to the cultural sites and attractions. Additionally, the package also includes traditional performances, local cuisine experiences, language interpreter services, art and craft workshops, audio guides and headsets, expert lectures, and souvenir shopping.",Provide_Clarification-Y,problem-solving,offer_generation,{}
22,446,6,0,What are the meal options available in Cultural Heritage Tour?,Ask_Clarification-Y,,,"['cultural heritage tour package', 'cultural heritage tour', 'crafts', 'art and craft workshops', 'meal options', 'art']"
22,446,6,1,The Cultural Heritage Tour offers a variety of meal options including local cuisine experience. You will have the opportunity to taste traditional dishes and experience the local flavors during your tour.,Provide_Clarification-Y,problem-solving,offer_generation,{}
22,446,7,0,"That's great to hear! I'm really interested in trying out the local cuisine. However, I must stick to my proposed budget of $18372.308465519956. Is there any way we can work within that range?",Negotiate-Price-NoChange,,,"['cultural heritage tour package', 'cultural heritage tour', 'crafts', 'art and craft workshops', 'local cuisine', 'meal options', 'art']"
22,446,7,1,"I understand your budget constraints, but unfortunately, I cannot go down to $18372.308465519956. However, I can offer you a discounted package at $20711.05789365314.",Negotiate-Price-Increase,flexible-pricing,offer_generation,{}
22,446,8,0,"Thank you for understanding my budget constraints. While I appreciate the discounted package offer at $20711.05789365314, I am still unable to go above my proposed budget of $18372.308465519956. Is there any other way we can adjust the package to make it work within my budget?",Negotiate-Price-NoChange,,,"['cultural heritage tour package', 'cultural heritage tour', 'crafts', 'art and craft workshops', 'local cuisine', 'meal options', 'art']"
22,446,8,1,I'm glad we could come to an agreement. Thank you for choosing our tour package.,Accept,co-operative-decision-making,decision_making,{}
24,856,1,0,"Hey!, I want to buy this package, what will be the cost of Adventure Trekking Expedition ",Greet-Ask,,,['adventure trekking expedition']
24,856,1,1,You're not wrong and you're not doing something wrong.   ,Greet-Inform,problem-solving,relational_positioning,{}
24,856,2,0,"Sorry sir, it's too high and not up to my budget. I can only go upto $26700 ",Negotiate-Price-Decrease,,,['adventure trekking expedition']
24,856,2,1, You should choose the amenity camera because it will make the cost of tour package $58000. ,Negotiate-Add-X,strategic-proposal,problem_identification,{}
24,856,3,0,"No Thanks, I Have My Own Camera ",provide_consent,,,['adventure trekking expedition']
24,856,3,1,"Thanks for your consent, we are removing Camera rental as a service ",consent_response,strategic-proposal,problem_identification,{}
24,856,4,0,Can you please provide more concession for the same package ,Negotiate-Price-NoChange,,,['adventure trekking expedition']
24,856,4,1,"It was fun dealing with you, Hope to see you on next call ",Accept,definitive-decision-making,decision_making,{}
25,715,1,0,"Hi!, I want to buy this package, what will be the cost of Historical Architecture Tour. ",Greet-Ask,,,['historical architecture tour']
25,715,1,1,"Sir! The package is very budget oriented and it is offering you several amenities like Historical Reenactment Interactive Exhibits Virtual Reality experiences Historical guidebook Audio tour Architectural photography, ",Greet-Inform,problem-solving,relational_positioning,{}
25,715,2,0,I want to know the cost of the package ,Ask_Price,,,['historical architecture tour']
25,715,2,1,The packaqge will cost you $24800? ,Tell_Price,problem-solving,problem_identification,{}
25,715,3,0,"$21800 is my best budget I can afford, I can only say you that I have $20800 in my pocket ",Negotiate-Price-Decrease,,,['historical architecture tour']
25,715,3,1,"Sir, I would like to recommend the amenity Virtual Reality experiences by which the cost of tour package is $24800, would you like to? ",Negotiate-Add-X,strategic-proposal,problem_identification,{}
25,715,4,0,"No, its not required for me. ",provide_consent,,,['historical architecture tour']
25,715,4,1,"Thanks for your consent, we are removing the amenity Binoculars rental ",consent_response,strategic-proposal,problem_identification,{}
25,715,5,0,"Okay, lets do this ",Negotiate-Price-NoChange,,,['historical architecture tour']
25,715,5,1,"Thank you for your time in negotiation, let's close the deal ",Accept,definitive-decision-making,decision_making,{}
26,390,1,0,Hi there! I'm really interested in the Festive Splendor: A Celebration Tour package. Could you please provide me with some details about the package and its pricing?,Greet-Ask,,,['celebration tour package']
26,390,1,1,"Hello! The Festive Splendor: A Celebration Tour package offers luxurious accommodation, transportation, and meals for a truly immersive experience. You will also have the opportunity to participate in festival events, traditional costume dress-up and photoshoots, cultural workshops and demonstrations, souvenir shopping assistance, local customs assistance, and even a karaoke party. All of this is included in the package for a price of $11400. It's a fantastic deal for an unforgettable celebration tour.",Greet-Inform,problem-solving,relational_positioning,{}
26,390,2,0,What kind of accommodation is included in Festive Splendor: A Celebration Tour?,Ask_Clarification-Y,,,"['celebration tour package', 'celebration tour']"
26,390,2,1,"The package includes accommodation, transportation, meals, festival events, and various amenities such as traditional costume dress-up and photoshoot, cultural workshops and demonstrations, souvenir shopping assistance, local customs assistance, karaoke party, and cultural workshops and demonstrations.",Provide_Clarification-Y,problem-solving,problem_identification,{}
26,390,3,0,Can you please provide me with the price of the tour package?,Ask_Price,,,"['celebration tour package', 'celebration tour']"
26,390,3,1,The package will cost you $11400?,Tell_Price,problem-solving,problem_identification,{}
26,390,4,0,What kind of transportation is provided in Festive Splendor: A Celebration Tour?,Ask_Clarification-Y,,,"['celebration tour package', 'transportation', 'celebration tour']"
26,390,4,1,"'The package offers transportation services as part of the package. The exact mode of transportation provided may vary depending on the specific destinations and logistics of the tour. However, rest assured that you will be provided with reliable and comfortable transportation to ensure a seamless and enjoyable travel experience.'",Provide_Clarification-Y,problem-solving,problem_identification,{}
26,390,5,0,"I'm not interested in attending cultural workshops and demonstrations, so please remove that amenity from the package.",Negotiate-Remove-X,,,"['celebration tour package', 'celebration tour', 'transportation', 'cultural workshops', 'demonstrations']"
26,390,5,1,"We understand that you are not interested in attending cultural workshops and demonstrations. As an alternative, we can include a Karaoke Party in the package which will lower the cost to $11400.",Negotiate-Remove-Y-Add-X,strategic-proposal,problem_identification,{}
26,390,6,0,"No, I do not want to add a Karaoke Party to the package.",provide_consent,,,"['celebration tour package', 'celebration tour', 'karaoke party', 'transportation', 'cultural workshops', 'demonstrations']"
26,390,6,1,"Thanks for your consent, we will not add Karaoke Party to the package.",consent_response,strategic-proposal,offer_generation,{}
26,390,7,0,"I appreciate your offer, but I can only afford $9390.383144153018 for this package. Can we make it work without the Karaoke Party?",Negotiate-Price-Decrease,,,"['celebration tour package', 'celebration tour', 'karaoke party', 'transportation', 'cultural workshops', 'demonstrations']"
26,390,7,1,"I understand your budget constraints, but unfortunately, removing the Karaoke Party from the package would not bring the price down to $9390.383144153018. However, I can offer you a discounted rate of $10500 without the Karaoke Party. Will this work for you?",Negotiate-Price-Increase,firm-pricing,offer_generation,{}
26,390,8,0,"I appreciate the discounted rate, but I'm afraid I cannot go above my proposed budget of $9390.383144153018. Is there any other way we can adjust the package to fit within my budget?",Negotiate-Price-NoChange,,,"['celebration tour package', 'celebration tour', 'karaoke party', 'transportation', 'cultural workshops', 'demonstrations']"
26,390,8,1,Thank you for considering our tour package. We can proceed with closing the deal.,Accept,definitive-decision-making,decision_making,{}
49,328,1,0,"Hi there, I'm really interested in the Eco Tour package. Can you please provide me with more information about the package and its price?",Greet-Ask,,,[]
49,328,1,1,"Hello! The Eco Tour package is perfect for nature lovers and adventure enthusiasts. It includes luxurious accommodation, convenient transportation, and delicious meals. You'll also get to experience guided nature walks, kayaking adventures, cycling tours, nature photography workshops, and yoga and meditation sessions. Additionally, you'll have the opportunity to visit local villages, engage in cultural exchanges, and participate in volunteering activities. All of this is available for the affordable price of $16500. It's an incredible way to immerse yourself in nature and contribute to sustainable tourism.",Greet-Inform,problem-solving,relational_positioning,{}
49,328,2,0,"The package sounds amazing, but it's a bit above my budget. Is there any way we can bring the price down to $11996?",Negotiate-Price-NoChange,,,[]
49,328,2,1,"I understand that the package sounds amazing to you, but with all the services and amenities included, it is difficult to bring the price down to $11996. However, I can offer you a discounted price of $14500, which is the best I can do. It is still a great value for the experience you will have.",Negotiate-Price-NoChange,flexible-pricing,relational_positioning,{}
49,328,3,0,"Thank you for considering a discounted price. However, my budget is firm at $11996. Is there any way we can make adjustments to the package to meet my budget?",Negotiate-Price-NoChange,,,[]
49,328,3,1,Thank you for your understanding. I can definitely make adjustments to the package to meet your budget. Are there any specific aspects of the package that you would like to prioritize or modify?,Negotiate-Price-Increase,flexible-pricing,offer_generation,{}
49,328,4,0,"Thank you for considering my budget. I would like to prioritize the guided nature walks, kayaking adventure, and the local village visit. If we can adjust the other aspects to fit my budget, that would be great.",Negotiate-Price-NoChange,,,"['guided nature', 'other aspects', 'local village visit']"
49,328,4,1,"Thank you for your preferences. We can certainly prioritize the guided nature walks, kayaking adventure, and the local village visit for you. After making some adjustments to other aspects, I can offer you this package at $15894.532802105896.",Negotiate-Price-Increase,flexible-pricing,offer_generation,{}
49,328,5,0,What type of accommodation is provided in the Eco Tour package?,Ask_Clarification-Y,,,"['guided nature', 'other aspects', 'local village visit']"
49,328,5,1,"The Eco Tour package provides accommodation options that focus on eco-friendly and sustainable practices. This can include eco-lodges, eco-resorts, or homestays that are designed to minimize environmental impact and promote responsible travel.",Provide_Clarification-Y,problem-solving,offer_generation,{}
49,328,6,0,"I appreciate the focus on eco-friendly practices in the accommodation options. However, my budget for the tour package is $11996. Is there any way we can find a package within that budget that still includes the updated amenities?",Negotiate-Price-NoChange,,,"['guided nature', 'updated amenities', 'other aspects', 'local village visit', 'eco - friendly practices', 'accommodation options']"
49,328,6,1,"I understand your budget constraints. However, it would be difficult to find a package within your budget that includes all the updated amenities. The current package already offers a discounted price for the services provided. If you are willing to adjust your budget slightly, we can try to find a suitable option for you.",Negotiate-Price-NoChange,flexible-pricing,offer_generation,{}
49,328,7,0,"Yes, I am open to adjusting my budget slightly. Can you please suggest the options available?",provide_consent,,,"['guided nature', 'updated amenities', 'other aspects', 'local village visit', 'eco - friendly practices', 'accommodation options']"
49,328,7,1,Thank you for your openness to adjusting your budget slightly. We have a few options available for you. We can suggest a more budget-friendly accommodation option or include additional amenities to enhance your tour experience. Let us know your preferences so we can provide you with the best options.,consent_response,collaborative-proposal,offer_generation,{}
49,328,8,0,"I appreciate your willingness to accommodate my budget. However, I am looking for a more affordable package and my budget is set at $12436.193000359859. Can we explore options within that range?",Negotiate-Price-Decrease,,,"['guided nature', 'updated amenities', 'other aspects', 'local village visit', 'eco - friendly practices', 'accommodation options']"
49,328,8,1,"Sir, I would like to recommend the amenity Kayaking Adventure, which will add excitement to your tour package. The cost of the tour package will be $14394.532802105896. Would you be interested in adding this adventure to your itinerary?",Negotiate-Add-X,collaborative-proposal,problem_identification,{}
49,328,9,0,"Yes, I would like to add the Kayaking Adventure to my itinerary.",provide_consent,,,"['guided nature', 'updated amenities', 'other aspects', 'local village visit', 'eco - friendly practices', 'kayaking adventure', 'accommodation options']"
49,328,9,1,"Thanks for your consent, we are adding the Kayaking Adventure to your itinerary.",consent_response,collaborative-proposal,problem_identification,{}
49,328,10,0,"Thank you for adding the Kayaking Adventure to my itinerary. However, I'm afraid the budget I proposed was $13236.19. Is it possible to adjust the package to fit within that budget?",Negotiate-Price-NoChange,,,"['guided nature', 'updated amenities', 'other aspects', 'local village visit', 'eco - friendly practices', 'kayaking adventure', 'accommodation options']"
49,328,10,1,I'm pleased to inform you that we can proceed with the tour package deal. Thank you for your time and consideration.,Accept,co-operative-decision-making,decision_making,{}
70,1225,1,0,Hi there! I'm really interested in the Adventure Trekking Expedition package. Can you please provide me with some details about the package and its pricing?,Greet-Ask,,,['adventure trekking expedition package']
70,1225,1,1,"Hello! The Adventure Trekking Expedition package offers a variety of services and amenities for a thrilling adventure. It includes accommodation, transportation, and meals for the duration of the trek. You will also have the support of experienced guides who will lead you on exciting treks and provide assistance along the way. Additionally, you will have the opportunity to rent camping equipment, relax in hot springs, visit cultural villages, and participate in various adventure activities.  All of this is available at a great price of $17600. It's the perfect package for those seeking an unforgettable adventure in the great outdoors!",Greet-Inform,problem-solving,relational_positioning,{}
70,1225,2,0,"The Adventure Trekking Expedition package sounds amazing, but I'm afraid $17600 is beyond my budget. Can we possibly discuss a price closer to $14559.344322862109?",Negotiate-Price-Decrease,,,['adventure trekking expedition package']
70,1225,2,1,"I understand that the original price of $17600 may be a bit over your budget. However, considering the amazing experiences and services included in the Adventure Trekking Expedition package, I would recommend a revised budget of $15500. This would allow you to enjoy all the accommodations, transportation, meals, guided treks, and amenities without compromising on the quality of your trip.",Negotiate-Price-NoChange,firm-pricing,offer_generation,{}
70,1225,3,0,"Thank you for understanding my budget constraints. I appreciate your recommendation of $15500, but I can only go up to $14962.239193277508 for this Adventure Trekking Expedition package.",Negotiate-Price-Decrease,,,"['adventure trekking expedition package', 'recommendation']"
70,1225,3,1,"Sir, I highly recommend adding the amenity of Local guides, which will enhance your tour experience. With the inclusion of Local guides, the tour cost would be $17600. Would you be interested in adding this to your package?",Negotiate-Add-X,strategic-proposal,problem_identification,{}
70,1225,4,0,"No, I do not want to add the amenity of Local guides.",provide_consent,,,"['local guides', 'adventure trekking expedition package', 'recommendation']"
70,1225,4,1,"Thanks for your consent, we are removing the amenity of Local guides.",consent_response,strategic-proposal,problem_identification,{}
70,1225,5,0,"Thank you for considering my proposal. However, I was hoping to have the amenity of Local guides included in the package. Is there any way we can keep it within my proposed budget of $14962.239193277508?",Negotiate-Price-NoChange,,,"['local guides', 'adventure trekking expedition package', 'recommendation']"
70,1225,5,1,Thank you for choosing our tour package. Let's proceed with the deal.,Accept,definitive-decision-making,decision_making,{}
80,722,1,0,Tell about Food Pairing facility in Culinary Tour ,Ask_Clarification-Y,,,['food pairing facility']
80,722,1,1,"Sir, this package is offering Food Pairing facility which will make you experience variety of cuisine and taste. ",Provide_Clarification-Y,problem-solving,problem_identification,{}
80,722,2,0,"You said you will let me visit the farm, but you are still adding the Farm-to-table Experience in the package ",Negotiate-Remove-X,,,['food pairing facility']
80,722,2,1,"This is the budget customer, I would recommend them the Spice Garden Visit by which whole package will cost them only $12550<|endoftext|>#include <iostream> ",Negotiate-Remove-Y-Add-X,strategic-proposal,problem_identification,{}
80,722,3,0,"I do not like camera rental, I already have a camera ",provide_consent,,,"['food pairing facility', 'camera rental', 'camera']"
80,722,3,1,"Thanks for your consent, we are removing Camera rental as an amenity ",consent_response,strategic-proposal,offer_generation,{}
80,722,4,0,"We agree on $9100 but please remove this package of taking Camera on rent, it's too expensive for me. ",Negotiate-Price-Decrease,,,"['rent', 'food pairing facility', 'camera rental', 'camera']"
80,722,4,1,"We are sorry for your inconvenience, this is one of the best camera's available in the market and the rental cost is included in this package.  ",Negotiate-Price-Increase,firm-pricing,offer_generation,{}
80,722,5,0,I do not have any requirement for camera's rental ,Negotiate-Price-NoChange,,,"['requirement', 'rent', 'food pairing facility', 'camera rental', 'camera']"
80,722,5,1,"Sir, we cannot go down to $11600, it's our lowest offer, I can offer you this package in $13200 ",Negotiate-Price-Increase,firm-pricing,offer_generation,{}
80,722,6,0,"I don't have any option in this budget, this package is not suitable for my budget. ",Negotiate-Price-NoChange,,,"['requirement', 'rent', 'food pairing facility', 'camera rental', 'camera']"
80,722,6,1,"We are highly disappointed with your response, please think about the food taste you will experience with this package, It's really amazing, Please reconsider your budget, Since, actual price is $11600 ",Negotiate-Price-NoChange,firm-pricing,offer_generation,{}
80,722,7,0,"I am sorry to hear this,I am unable to increase my budget, please close this discussion ",Negotiate-Price-NoChange,,,"['requirement', 'rent', 'food pairing facility', 'camera rental', 'discussion', 'camera']"
80,722,7,1,"This package have everything that can provide you thrilling experience in the garden, am sorry to hear this,I am unable to increase my budget, please close this discussion ",Negotiate-Price-NoChange,firm-pricing,offer_generation,{}
80,722,8,0,"Thanks, I understand that the price is fixed. ",provide_consent,,,"['requirement', 'rent', 'food pairing facility', 'camera rental', 'discussion', 'camera']"
80,722,8,1, Thank you understanding sir.,consent_response,strategic-proposal,offer_generation,{}
80,722,9,0,"Let's close with the package deal, Thanks ",Accept,,,"['requirement', 'rent', 'food pairing facility', 'camera rental', 'discussion', 'camera']"
80,722,9,1,"Thanks for your time, we can close the deal with acceptance, Thanks ",Acknowledge acceptance,no-strategy,relational_positioning,{}
81,936,1,0,Is music and dance performance included in Festive Splendor: A Celebration Tour,Ask_Clarification-Y,,,['celebration tour<|endoftext|>---']
81,936,1,1,Yes there will be music and dance performance. ,Provide_Clarification-Y,problem-solving,problem_identification,{}
81,936,2,0,"I'm planning to take my selfie wearing the traditional dress of the country, Please add Traditional Costume Dress-up and Photoshoot in the package ",Negotiate-Add-X,,,"['traditional dress', 'celebration tour<|endoftext|>---', 'traditional costume dress - up']"
81,936,2,1,"Thanks for adding the amenity Traditional Costume Dress-up and Photoshoot in the package, the final cost will be $12100 ",Negotiate-Add-X,strategic-proposal,problem_identification,{}
81,936,3,0," I can go upto $10600, $12100 is not under my budget? ",Negotiate-Price-Decrease,,,"['traditional dress', 'celebration tour<|endoftext|>---', 'traditional costume dress - up']"
81,936,3,1,"Sir, the amenity Cultural Workshops and Demonstrations will make the tour cost only $12100. ",Negotiate-Add-X,strategic-proposal,problem_identification,{}
81,936,4,0,Then I would like to add Cultural Workshops and Demonstrations as an amenity for this tour ,provide_consent,,,"['traditional dress', 'celebration tour<|endoftext|>---', 'traditional costume dress - up', 'demonstrations', 'cultural workshops']"
81,936,4,1,"Thanks for your consent, we are adding Cultural Workshops and Demonstrations as an amenity ",consent_response,strategic-proposal,problem_identification,{}
81,936,5,0,I still cannot go beyond $11600 ,Negotiate-Price-NoChange,,,"['traditional dress', 'celebration tour<|endoftext|>---', 'traditional costume dress - up', 'demonstrations', 'cultural workshops']"
81,936,5,1,"It was nice negotiation with you, thanks ",Accept,definitive-decision-making,decision_making,{}
86,753,1,0,What we have for themed parties included in Cruise Package ,Ask_Clarification-Y,,,"['cruise package', 'themed parties']"
86,753,1,1,This package has variety of amenities like Kids game room Themed Parties Snorkeling Adventure Casino Fine Dining Restaurants ,Provide_Clarification-Y,problem-solving,relational_positioning,{}
86,753,2,0,Tell me about accomodation what we have for accomodation inclusion in Cruise Package ,Ask_Clarification-Y,,,"['cruise package', 'themed parties', 'accomodation inclusion']"
